Player,Shot,Type,Stroke,Spin,Speed (MPH),Point,Game,Set,Bounce Depth,Bounce Zone,Bounce Side,Bounce (x),Bounce (y),Hit Depth,Hit Zone,Hit Side,Hit (x),Hit (y),Hit (z),Direction,Result,Favorited,Start Time,Video Time
Player A,0,none,Feed,Flat,25.114799,1,0,0,no_mans_land,ad,near,-0.517682,4.270562,out,ad,far,0.163967,25.341398,0.778482,---,In,false,22:46:59,
Player B,1,none,Backhand,Topspin,46.128777,1,0,0,no_mans_land,ad,far,0.327598,20.730919,out,ad,near,-0.842163,-0.684779,1.039906,cross court,In,false,22:47:00,
Player A,2,none,Forehand,Flat,58.368824,1,0,0,no_mans_land,ad,near,-2.622315,2.029263,no_mans_land,ad,far,0.339278,24.174992,1.70348,cross court,In,false,22:47:02,
Player B,3,none,Backhand,Flat,44.495892,1,0,0,no_mans_land,ad,far,0.765345,19.733168,out,ad,near,-2.746448,-1.154936,0.934796,cross court,In,false,22:47:03,
Player A,4,none,Forehand,Topspin,46.041744,1,0,0,no_mans_land,deuce,near,0.454382,2.873709,no_mans_land,ad,far,1.103637,24.818979,1.464712,down the line,In,false,22:47:05,
Player B,5,none,Forehand,Topspin,41.921459,1,0,0,no_mans_land,ad,far,3.473671,23.619349,out,deuce,near,0.395327,-1.660458,1.237953,down the line,In,false,22:47:06,
Player A,6,none,Forehand,Topspin,54.075794,1,0,0,no_mans_land,deuce,near,1.949332,3.147816,no_mans_land,ad,far,3.473671,24.828136,0.955763,down the line,In,false,22:47:08,
Player B,7,none,Forehand,Topspin,41.919987,1,0,0,no_mans_land,ad_alley,far,4.64322,21.102854,out,deuce_alley,near,4.885168,-2.037978,0.959036,down the line,Out,false,22:47:10,
Player A,8,none,Forehand,Slice,33.1031,1,0,0,no_mans_land,deuce,near,0.760929,4.777353,no_mans_land,ad,far,3.844389,24.479006,1.353358,down the line,In,false,22:47:11,
Player B,9,none,Backhand,Topspin,41.539551,1,0,0,no_mans_land,ad,far,1.428413,19.482353,no_mans_land,deuce,near,0.414403,1.018514,0.608241,inside in,In,false,22:47:14,
Player A,10,none,Forehand,Topspin,51.509193,1,0,0,service_box,ad,near,-0.46567,6.162109,out,ad,far,1.698391,26.334936,0.818832,cross court,In,false,22:47:15,
Player B,11,none,Backhand,Slice,39.334072,1,0,0,out,deuce,far,-0.633362,24.478203,no_mans_land,ad,near,-1.341599,-0.210125,0.35714,down the line,Out,false,22:47:17,
Player A,12,none,Backhand,Topspin,28.74791,1,0,0,service_box,ad,far,0.868372,16.000246,out,deuce,far,-0.633362,25.686991,1.003217,down the line,Net,false,22:47:19,
Player A,0,none,Feed,Topspin,24.248772,2,0,0,service_box,ad,near,-0.840737,5.846856,out,ad,far,0.724107,26.505823,0.831274,---,In,false,22:47:22,
Player B,1,none,Backhand,Topspin,45.591206,2,0,0,no_mans_land,ad,far,1.384797,18.829731,no_mans_land,ad,near,-1.490325,0.671825,0.620509,cross court,In,false,22:47:24,
Player A,2,none,Forehand,Topspin,45.606514,2,0,0,no_mans_land,deuce,near,1.233557,2.774692,out,ad,far,2.37881,26.167318,0.925526,down the line,In,false,22:47:25,
Player B,3,none,Forehand,Flat,44.468182,2,0,0,no_mans_land,ad,far,0.393103,20.938953,out,deuce,near,1.230809,-0.796532,1.040687,down the line,In,false,22:47:27,
Player A,4,none,Forehand,Topspin,49.993259,2,0,0,service_box,ad,near,-1.899745,6.177888,out,ad,far,0.109076,25.800663,1.18342,cross court,In,false,22:47:28,
Player B,5,none,Backhand,Flat,44.595898,2,0,0,service_box,ad,far,2.744822,16.867847,out,ad,near,-2.29048,-0.653145,0.454035,cross court,In,false,22:47:30,
Player A,6,none,Forehand,Slice,34.263161,2,0,0,no_mans_land,deuce,near,0.614228,2.528754,no_mans_land,ad,far,3.949298,24.763571,0.676736,down the line,In,false,22:47:32,
Player B,7,none,Forehand,Topspin,42.783634,2,0,0,no_mans_land,deuce,far,-0.673391,19.278557,out,ad,near,-0.114231,-2.725391,1.411811,inside in,In,false,22:47:34,
Player A,8,none,Backhand,Topspin,49.999809,2,0,0,no_mans_land,deuce,near,0.771789,3.099491,out,deuce,far,-1.145409,26.208054,1.107814,cross court,In,false,22:47:36,
Player B,9,none,Forehand,Flat,44.38649,2,0,0,no_mans_land,deuce,far,-2.816356,23.62425,out,deuce,near,0.779308,-0.662667,1.30203,cross court,In,false,22:47:38,
Player A,10,none,Backhand,Flat,51.632549,2,0,0,service_box,ad,near,-0.952606,5.701383,out,deuce,far,-3.088457,25.971788,1.116809,down the line,In,false,22:47:39,
Player B,11,none,Forehand,Flat,45.344578,2,0,0,no_mans_land,deuce,far,-1.125481,21.250572,no_mans_land,ad,near,-0.440756,0.301566,0.65047,inside in,In,false,22:47:41,
Player A,12,none,Backhand,Topspin,41.743702,2,0,0,no_mans_land,deuce,near,1.101561,3.212445,out,deuce,far,-1.165181,26.159845,0.849409,cross court,In,false,22:47:42,
Player B,13,none,Forehand,Topspin,37.494576,2,0,0,no_mans_land,deuce,far,-3.886259,21.01215,no_mans_land,deuce,near,1.213823,0.550523,1.342743,cross court,In,false,22:47:44,
Player A,14,none,Backhand,Topspin,35.204449,2,0,0,service_box,deuce,far,-2.976933,13.691463,out,deuce_alley,far,-4.34458,25.409861,0.850901,down the line,Net,false,22:47:46,
Player B,0,none,Feed,Topspin,17.320551,3,0,0,no_mans_land,deuce,far,-0.778746,21.508421,no_mans_land,deuce,near,0.114,1.291083,1.19213,---,In,false,22:47:50,
Player A,1,none,Backhand,Topspin,38.960827,3,0,0,service_box,ad,near,-2.727375,6.437084,out,deuce,far,-0.872863,25.150923,1.145622,down the line,In,false,22:47:52,
Player B,2,none,Backhand,Topspin,42.258202,3,0,0,no_mans_land,deuce,far,-3.091111,20.04719,out,ad,near,-3.091111,-0.870992,0.460167,down the line,In,false,22:47:55,
Player A,3,none,Forehand,Topspin,50.556797,3,0,0,service_box,ad,near,-0.033735,6.268218,out,deuce,far,-0.467128,26.23345,1.306383,inside in,In,false,22:47:56,
Player B,4,none,Forehand,Topspin,44.275707,3,0,0,no_mans_land,deuce,far,-2.445494,20.832472,out,ad,near,-0.384919,-0.629222,0.691584,inside in,In,false,22:47:58,
Player A,5,none,Backhand,Topspin,32.632236,3,0,0,service_box,deuce,far,-2.594674,11.970857,out,deuce,far,-2.818375,25.96874,1.214474,cross court,Net,false,22:47:59,
Player A,0,none,Feed,Topspin,19.918634,4,0,0,no_mans_land,ad,near,-0.114882,2.305392,out,ad,far,0.302285,26.818512,0.557166,---,In,false,22:48:22,
Player B,1,none,Backhand,Topspin,47.805653,4,0,0,no_mans_land,deuce,far,-1.256557,19.898762,out,ad,near,-0.377488,-1.77049,1.181177,down the line,In,false,22:48:24,
Player A,2,none,Backhand,Slice,35.759933,4,0,0,service_box,ad,near,-2.084787,7.089219,out,deuce,far,-1.401475,25.406874,0.93173,down the line,In,false,22:48:26,
Player B,3,none,Backhand,Slice,39.723621,4,0,0,no_mans_land,ad,far,4.084846,18.541388,no_mans_land,ad,near,-2.214636,0.246704,0.633221,cross court,In,false,22:48:28,
Player A,4,none,Forehand,Topspin,42.332504,4,0,0,service_box,deuce,near,1.272124,10.025137,no_mans_land,ad,far,0.669693,24.344957,0.921897,down the line,In,false,22:48:30,
Player B,5,none,Overhead,Flat,41.941406,4,0,0,service_box,deuce,far,-0.461154,16.745827,service_box,deuce,near,1.272124,9.49989,2.110465,---,In,false,22:48:30,
Player A,6,none,Backhand,Slice,27.598906,4,0,0,service_box,deuce,far,-0.123153,13.642582,no_mans_land,deuce,far,-1.4595,23.943913,0.433409,cross court,Net,false,22:48:32,
Player A,0,none,Feed,Flat,24.248772,5,0,0,no_mans_land,deuce,near,0.38617,3.397389,no_mans_land,ad,far,0.209768,19.745882,1.622156,---,In,false,22:48:40,
Player B,1,none,Forehand,Topspin,49.217323,5,0,0,service_box,deuce,far,-2.450229,17.839355,out,deuce,near,0.470186,-1.626037,0.992976,cross court,In,false,22:48:41,
Player A,2,none,Backhand,Slice,42.129574,5,0,0,out,deuce,near,2.458908,-0.744154,out,deuce,far,-3.152042,25.059599,0.61919,cross court,Out,false,22:48:43,
Player B,3,none,Forehand,Flat,42.467751,5,0,0,service_box,deuce,near,0.790909,10.900815,no_mans_land,deuce,near,2.435012,-0.480801,1.234989,cross court,Net,false,22:48:45,
Player B,0,none,Feed,Topspin,22.516716,6,0,0,service_box,ad,far,0.00755,18.257591,no_mans_land,ad,near,-0.522081,0.588297,0.663426,---,In,false,22:48:52,
Player A,1,none,Forehand,Topspin,43.866428,6,0,0,out,deuce,near,0.382904,-0.574347,out,ad,far,0.344388,25.967056,0.981625,down the line,Out,false,22:48:54,
Player B,2,none,Forehand,Topspin,37.75489,6,0,0,service_box,ad,far,2.668336,15.840522,out,deuce,near,0.328648,-2.067151,0.826387,down the line,In,false,22:48:56,
Player A,3,none,Forehand,Topspin,46.248402,6,0,0,no_mans_land,ad,near,-0.683111,2.207883,no_mans_land,ad,far,3.272563,24.956308,0.592607,cross court,In,false,22:48:58,
